Date,Close,Change,Momentum
2010-01-04,13.0,0.0,0
2010-01-05,13.420000076293945,0.03230769817645733,1
2010-01-06,13.880000114440918,0.03427720085930177,1
2010-01-07,13.90999984741211,0.0021613640290953115,1
2010-01-08,13.9399995803833,0.0021567026096533507,1
2010-01-11,13.68000030517578,0.018651311551931355,0
2010-01-12,14.149999618530273,0.034356674186379325,1
2010-01-13,14.149999618530273,0.0,0
2010-01-14,15.079999923706055,0.06572440496449838,1
2010-01-15,15.199999809265135,0.00795755213303669,1
2010-01-19,14.75,0.029605250981045297,0
2010-01-20,14.350000381469727,0.027118618205442268,0
2010-01-21,13.59000015258789,0.052961687015927225,0
2010-01-22,14.050000190734865,0.03384842038131827,1
2010-01-25,14.149999618530273,0.0071173968994927145,1
2010-01-26,13.449999809265135,0.04946995251847546,0
2010-01-27,13.15999984741211,0.021561335759518515,0
2010-01-28,13.06999969482422,0.006838917449196416,0
2010-01-29,13.699999809265135,0.04820199916993092,1
2010-02-01,13.84000015258789,0.01021900330451649,1
2010-02-02,13.960000038146973,0.00867051186676784,1
2010-02-03,14.449999809265135,0.03510027004148949,1
2010-02-04,14.149999618530273,0.020761259148426123,0
2010-02-05,13.020000457763672,0.07985860008694275,0
2010-02-08,13.390000343322756,0.028417808951646945,1
2010-02-09,13.369999885559082,0.0014936861277712631,0
2010-02-10,13.050000190734865,0.02393415838169514,0
2010-02-11,13.100000381469727,0.0038314321842202147,1
2010-02-12,13.130000114440918,0.002290055885313314,1
2010-02-16,13.350000381469727,0.016755541897280197,1
2010-02-17,13.350000381469727,0.0,0
2010-02-18,13.789999961853027,0.03295876912438413,1
2010-02-19,13.779999732971193,0.0007251797613848856,0
2010-02-22,13.760000228881836,0.0014513428502835701,0
2010-02-23,13.8100004196167,0.0036337347313348404,1
2010-02-24,13.65999984741211,0.010861735528372501,0
2010-02-25,13.300000190734865,0.026354294341038836,0
2010-02-26,13.0,0.02255640499493024,0
2010-03-01,13.550000190734865,0.042307706979605,1
2010-03-02,13.380000114440918,0.012546130915200184,0
2010-03-03,13.119999885559082,0.019432004981914757,0
2010-03-04,13.020000457763672,0.0076219076728405695,0
2010-03-05,13.34000015258789,0.024577548661559895,1
2010-03-08,13.770000457763672,0.032233905566512566,1
2010-03-09,13.68000030517578,0.006535958576323021,0
2010-03-10,13.760000228881836,0.0058479475088746,1
2010-03-11,14.050000190734865,0.021075578272471807,1
2010-03-12,13.880000114440918,0.012099649394030042,0
2010-03-15,13.579999923706055,0.021613846416524127,0
2010-03-16,13.609999656677244,0.0022091114241333913,1
2010-03-17,13.81999969482422,0.015429834198706055,1
2010-03-18,13.850000381469727,0.0021708167371915143,1
2010-03-19,13.869999885559082,0.0014440074757047171,1
2010-03-22,13.65999984741211,0.01514059407928451,0
2010-03-23,13.300000190734865,0.026354294341038836,0
2010-03-24,13.18000030517578,0.009022547657005352,0
2010-03-25,13.600000381469727,0.031866469390673176,1
2010-03-26,13.600000381469727,0.0,0
2010-03-29,13.630000114440918,0.0022058626565971753,1
2010-03-30,13.550000190734865,0.005869400075887996,0
2010-03-31,13.800000190734865,0.01845018424213333,1
2010-04-01,14.029999732971193,0.016666633265030442,1
2010-04-05,14.149999618530273,0.008553092504846925,1
2010-04-06,14.170000076293945,0.0014134599507324421,1
2010-04-07,14.390000343322756,0.015525777406089453,1
2010-04-08,14.609999656677244,0.015288346636945888,1
2010-04-09,14.579999923706055,0.0020533698614755803,0
2010-04-12,14.600000381469727,0.0013717735163463573,1
2010-04-13,14.270000457763672,0.02260273390984904,0
2010-04-14,14.949999809265135,0.047652370685910224,1
2010-04-15,15.050000190734865,0.006688988812411605,1
2010-04-16,14.5600004196167,0.032558123914165876,0
2010-04-19,14.5,0.004120907821943508,0
2010-04-20,14.640000343322756,0.00965519609122453,1
2010-04-21,14.529999732971193,0.007513702716662389,0
2010-04-22,15.149999618530273,0.04267033014131367,1
2010-04-23,15.75,0.039603986572768875,1
2010-04-26,15.8100004196167,0.0038095504518539185,1
2010-04-27,15.300000190734865,0.03225807813698962,0
2010-04-28,15.06999969482422,0.015032711963619754,0
2010-04-29,14.81999969482422,0.01658925050183394,0
2010-04-30,14.859999656677244,0.0026990528121936127,1
2010-05-03,15.18000030517578,0.021534364461088324,1
2010-05-04,14.609999656677244,0.03754944908032627,0
2010-05-05,14.199999809265135,0.028062960783488185,0
2010-05-06,12.949999809265135,0.08802817019648178,0
2010-05-07,13.06999969482422,0.009266400565753764,1
2010-05-10,13.529999732971193,0.03519510703042593,1
2010-05-11,13.800000190734865,0.019955688329077275,1
2010-05-12,13.760000228881836,0.0028985479203025343,0
2010-05-13,14.0,0.01744184354113684,1
2010-05-14,14.3100004196167,0.022142887115478516,1
2010-05-17,13.729999542236328,0.04053115725875756,0
2010-05-18,13.199999809265135,0.0386015841690893,0
2010-05-19,13.050000190734865,0.011363607628614094,0
2010-05-20,11.949999809265135,0.08429121573888555,0
